Performance,Attempt
-0.32854606945329484,first
-0.7860001069938921,first
0.1927627700932199,first
-0.4870764559791227,first
-0.7793275304773867,first
0.9711543959108072,first
0.3878421271058812,first
0.18166398178207413,first
-0.1749229124879351,first
-1.879732088203385,first
0.9786753987691051,first
0.26088884248800515,first
0.5243134646828153,first
-0.6917254268432371,first
1.2180286228175334,first
0.7586061718978231,first
-1.4622583243512932,first
1.6581042888626443,first
0.36641124159125216,first
-0.5164667369209304,first
0.49859637712192745,first
1.0454822579921248,first
-1.1903896142637405,first
1.0490450131510343,first
-1.079802951651967,first
0.9436423121430956,first
0.0611776328640492,first
-0.39359763828787203,first
-0.6493895073304261,first
0.25186277188626677,first
2.201504109486416,first
1.3411620562656985,first
-0.7402617769565739,first
0.19879043473644942,first
0.09273075166839884,first
-0.28487546520819296,first
0.3144955237303841,first
0.6385790957550855,first
0.2729257930675632,first
0.19819349241199166,first
0.018109387751704356,first
0.9016827962054855,first
0.06120374397230995,first
0.276573464665318,first
-0.4249623813198252,first
-0.5164667369209304,first
1.5691617315212616,first
-1.0400383235928836,first
1.9597480395618658,first
-0.031386513502666955,first
0.3618651690140859,first
0.27514748143765455,first
-0.6099338839422386,first
0.8558296778095718,first
0.531999202784955,first
0.18166398178207413,first
-0.3257237029613715,first
0.5081647363780554,first
-0.3051800953804065,first
-0.6095483948134867,first
-1.1795304238074726,first
-0.2686191529298846,first
-0.6765317944551663,first
0.531999202784955,first
-0.02171569766597973,first
0.22268812888384748,first
-0.2923435937974071,first
0.9644045905675122,first
-0.6115589693002454,first
-0.1281495026154702,first
-1.5032992720589955,first
1.083997753568989,first
-0.4390912195367123,first
0.5575768530434178,first
-0.29790959484118384,first
-1.0676580729133636,first
0.3344362426837876,first
0.5100287319961103,first
-1.7704282169027152,first
0.07634825179071585,first
1.0989794324971278,first
1.6397477508176093,first
0.5662015712374451,first
-0.08835081865489534,first
-0.15088187224063887,first
0.09512802723269298,first
0.0759213732957226,first
-0.28789848329789075,first
-0.21106034228597648,first
-0.555643459984348,first
0.5446733926468382,first
0.7075897775123164,first
-0.7725804966190094,first
0.0611776328640492,first
-5.217437631733003,first
0.3877748394204029,first
0.5203318627487415,first
-0.3761068028852351,first
0.9668773342857904,first
-0.26956887073160263,first
0.10349230188419865,first
-0.5164667369209304,first
-0.686419084146885,first
0.11567030613647009,first
0.3386130076753455,first
-0.4393517212531171,first
1.3270903560364042,first
0.35149110997356875,first
-0.15039997873067396,first
-0.8110470819793593,first
-0.06145898946220971,first
-0.7514411477056839,first
0.4248539669669091,first
0.9786753987691051,first
-0.26565877156082357,first
1.0883825393455413,first
0.2729257930675632,first
0.11378572426475331,first
-1.6265911563883413,first
0.960140043195921,first
0.9612684122694054,first
0.6342077727327089,first
0.0030904367090994643,first
0.29657828487171883,first
0.43110861021277685,first
-0.0865873707336962,first
1.1438936929997718,first
-1.1332651517341927,first
2.8277001765169443,first
-0.9230391318323711,first
-1.0639185581132857,first
0.8370492591185882,first
-0.1842748161669288,first
1.1134309564089995,first
-1.1795304238074726,first
1.06159411818235,first
1.0871995266423382,first
0.9698772283438946,first
0.260115090398592,first
0.7348152817252857,first
0.17248026137678954,first
-0.4249623813198252,first
0.17915274875006454,first
0.3682794596548618,first
-0.24701172494991488,first
0.317104188492292,first
0.4664090399467132,first
-0.1245136226194924,first
1.7527013151175568,first
0.48607853958099545,first
-0.686419084146885,first
0.7889871055137714,first
0.7203300143272793,first
0.17301864447291904,first
-0.6746557945773627,first
-0.25096149987551014,first
-0.11225678916566198,first
0.5081647363780554,first
0.30561928947601935,first
-0.28487546520819296,first
-0.8731408492421182,first
-0.1749229124879351,first
-0.682347295171782,first
3.112926438802552,first
0.11919696714523147,first
0.2762142946014734,first
-0.802246402563649,first
-0.1295739203899533,first
0.24165645818796216,first
0.2546887689135703,first
0.6181172890983136,first
1.0381391016028039,first
-0.1168125903383322,first
0.1367546683585702,first
0.6426620458625908,first
-3.4464460114850306,first
0.19879043473644942,first
0.010349935608654824,first
-0.20250567277505893,first
0.49956407970554983,first
1.185356616745893,first
1.3918904568671104,first
0.7858669546506564,first
0.6780660196199655,first
-0.0009126147219522578,first
