Performance,Attempt
0.0,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
1.3862943611198906,first
0.0,first
0.0,first
0.0,first
1.0986122886681098,first
0.0,first
2.1972245773362196,first
0.0,first
0.0,first
0.0,first
1.0986122886681098,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
1.0986122886681098,first
0.0,first
0.0,first
0.0,first
2.3978952727983707,first
0.0,first
0.0,first
1.6094379124341003,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
1.0986122886681098,first
1.0986122886681098,first
0.0,first
0.0,first
0.0,first
1.0986122886681098,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
1.6094379124341003,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
2.0794415416798357,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
1.0986122886681098,first
0.0,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.6931471805599453,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
1.0986122886681098,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
1.0986122886681098,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.6931471805599453,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
2.0794415416798357,first
0.0,first
0.0,first
1.0986122886681098,first
0.0,first
0.0,first
0.0,first
0.0,first
3.58351893845611,first
1.0986122886681098,first
0.0,first
0.0,first
1.0986122886681098,first
0.0,first
0.0,first
0.6931471805599453,first
0.6931471805599453,first
0.0,first
2.1972245773362196,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,first
1.0986122886681098,first
1.791759469228055,first
0.0,first
0.0,first
0.0,first
0.0,first
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.6931471805599453,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.6931471805599453,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.6931471805599453,penultimate
0.0,penultimate
0.6931471805599453,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.6931471805599453,penultimate
0.0,penultimate
0.0,penultimate
1.9459101490553132,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
1.3862943611198906,penultimate
0.0,penultimate
0.6931471805599453,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.6931471805599453,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
0.0,penultimate
