Performance,Attempt,Group
0.6426620458625908,first,successful
-0.28487546520819296,first,successful
1.1438936929997718,first,successful
0.9275866869605665,first,successful
0.0611776328640492,first,successful
-0.1749229124879351,first,successful
-0.28282519323852057,first,successful
1.0454822579921248,first,successful
1.086391110568018,first,successful
0.09512802723269298,first,successful
0.2729257930675632,first,successful
2.8277001765169443,first,successful
-0.418484252547634,first,successful
0.5783279935612259,first,successful
-0.1842748161669288,first,successful
0.36641124159125216,first,successful
0.19879043473644942,first,successful
0.07634825179071585,first,successful
-0.2049011244895393,first,successful
0.29906940562731565,first,successful
1.6527302389512821,first,successful
-1.1795304238074726,first,successful
0.5681503560161347,first,successful
0.5446733926468382,first,successful
0.922165233993601,first,successful
1.578680744662673,first,successful
-0.7111737052098374,first,successful
-1.678272771241763,first,successful
0.383854067446952,first,successful
0.19819349241199166,first,successful
-0.6099338839422386,first,successful
0.13464228985104398,first,successful
1.1978422609854054,first,successful
0.10536034090691056,first,successful
-0.7860001069938921,first,successful
0.531999202784955,first,successful
-0.6715384365502587,first,successful
0.531999202784955,first,successful
-0.5164667369209304,first,successful
1.0883825393455413,first,successful
0.1246186858963344,first,successful
0.13464228985104398,first,successful
-0.5675793702738722,first,successful
0.7075897775123164,first,successful
-0.2642312518052181,first,successful
-0.7793275304773867,first,successful
-0.8313042103512162,first,successful
0.9168665239168861,first,successful
-0.4249623813198252,first,successful
0.2546887689135703,first,successful
0.4133747209658185,first,successful
-0.45104594851404556,first,successful
1.6742375969197272,first,successful
-1.879732088203385,first,successful
-0.31772385184960844,first,successful
0.7963213910934887,first,successful
-0.4393517212531171,first,successful
-0.20559349948306752,first,successful
1.002881242991226,first,successful
1.358634247558206,first,successful
0.9502492874308319,first,successful
1.0490450131510343,first,successful
0.08166007065216506,first,successful
0.31582503178161353,first,successful
1.6581042888626443,first,successful
0.2703798605158252,first,successful
0.9077453956704403,first,successful
-1.8530775081745092,first,successful
0.9855470173473315,first,successful
-0.8731408492421182,first,successful
0.22268812888384748,first,successful
0.35149110997356875,first,successful
-0.030427126547972666,first,successful
-1.0639185581132857,first,successful
0.26088884248800515,first,successful
-0.686419084146885,first,successful
-0.3308291623181459,first,successful
0.9786753987691051,first,successful
1.0767574468823313,first,successful
0.11567030613647009,first,successful
-0.555643459984348,first,successful
0.6631229072900802,first,successful
0.24279082256360013,first,successful
0.17301864447291904,first,successful
0.17301864447291904,first,successful
0.3878421271058812,first,successful
-0.19991239818629203,first,successful
-0.005990217122494027,first,successful
0.1671805743084365,first,successful
0.7812920519396587,first,successful
3.112926438802552,first,successful
0.8021707548048493,first,successful
-0.31667640727473784,first,successful
0.45106398735828995,first,successful
-1.0676580729133636,first,successful
0.7018256152966096,first,successful
1.0381391016028039,first,successful
-1.012740691048132,first,successful
0.4572978821525505,first,successful
0.29558332248228997,first,successful
0.4597970753212627,first,successful
-0.9149360874153554,first,successful
0.07605889338607201,first,successful
-0.5164667369209304,first,successful
-0.9932375556707561,first,successful
0.9571327009650759,first,successful
0.5203318627487415,first,successful
0.17248026137678954,first,successful
0.7799992795761277,first,successful
1.137475254178845,first,successful
0.0611776328640492,first,successful
-0.18244855403002957,first,successful
0.4015421521501752,first,successful
1.1134309564089995,first,successful
0.3033349379942266,first,successful
0.8370492591185882,first,successful
0.6342077727327089,first,successful
0.6650807684728791,first,successful
-0.2830366216587884,first,successful
0.9016827962054855,first,successful
0.5664674130303226,first,successful
0.6717609919072105,first,successful
0.27431656678077565,first,successful
0.8283425655170336,first,successful
-0.02171569766597973,first,successful
-0.6627941087175601,first,successful
0.6385790957550855,first,successful
0.8648005025523394,first,successful
0.7851493744456585,first,successful
0.5758673984680234,first,successful
-0.0865873707336962,first,successful
-0.5263826489171952,first,successful
-0.0009126147219522578,first,successful
0.18166398178207413,first,successful
-0.28487546520819296,first,successful
0.7348152817252857,first,successful
-0.3051800953804065,first,successful
0.0611776328640492,first,successful
0.7889871055137714,first,successful
1.1453131814009774,first,successful
-0.30080823792675543,first,successful
0.45106398735828995,first,successful
-0.8443451263178414,first,successful
0.24165645818796216,first,successful
-1.1795304238074726,first,successful
-0.6626896721167393,first,successful
-0.5323737697155667,first,successful
0.49956407970554983,first,successful
-0.2042653767709042,first,successful
0.6349116638583678,first,successful
0.29657828487171883,first,successful
1.06159411818235,first,successful
0.7386825862359,first,successful
0.1927627700932199,first,successful
-4.46293889397101,first,successful
0.7398880148679845,first,successful
0.3382903946468691,first,successful
-0.2151396498048114,first,successful
-0.6537149372955237,first,successful
0.5553066348606841,first,successful
-0.7402617769565739,first,successful
-0.6917254268432371,first,successful
1.3270903560364042,first,successful
0.260115090398592,first,successful
-0.5815493980147279,first,successful
-0.08835081865489534,first,successful
0.07375819344755162,first,successful
0.7595694040445982,first,successful
-0.008557163428491454,first,successful
0.8476160464816876,first,successful
0.06120374397230995,first,successful
0.39332059108078965,first,successful
1.0481007311735064,first,successful
1.8554909380142521,first,successful
-1.1903896142637405,first,successful
0.36641124159125216,first,successful
0.6738123659145936,first,successful
0.5100287319961103,first,successful
0.07377996611446574,first,successful
-0.1168125903383322,first,successful
0.5245610908904474,first,successful
-1.079802951651967,first,successful
-0.7514411477056839,first,successful
-0.03058186166458215,first,successful
-0.6264192896411882,first,successful
-0.6765317944551663,first,successful
-0.6917254268432371,first,successful
-0.682347295171782,first,successful
-0.686419084146885,first,successful
-0.29790959484118384,first,successful
0.10349230188419865,first,successful
0.26088884248800515,first,successful
0.19879043473644942,first,successful
0.531999202784955,first,successful
0.5081647363780554,first,successful
0.006154660720446958,first,successful
0.19718921668475758,first,successful
0.9436423121430956,first,successful
0.3296056611678222,first,successful
-0.9932375556707561,first,successful
1.3918904568671104,first,successful
2.201504109486416,first,successful
1.320196758639966,first,successful
0.48607853958099545,first,successful
-1.7704282169027152,first,successful
1.154784344365162,first,successful
-1.0639185581132857,first,successful
-0.2042653767709042,first,successful
0.4790857094505089,first,successful
0.6425729917858739,first,successful
0.06120374397230995,first,successful
0.3144955237303841,first,successful
-0.31667640727473784,first,successful
-1.5032992720589955,first,successful
0.30868045411754885,first,successful
0.2566126307107919,first,successful
0.23712863232693737,first,successful
1.3411620562656985,first,successful
-0.13885976476621134,first,successful
0.4965340504616416,first,successful
-0.5164667369209304,first,successful
-0.3964213055756314,first,successful
0.49859637712192745,first,successful
0.7851493744456585,first,successful
-0.6115589693002454,first,successful
-5.217437631733003,first,successful
-0.5164667369209304,first,successful
-0.27323552455322275,first,successful
0.2515062903577145,first,successful
-0.03981920226226414,first,successful
0.11378572426475331,first,successful
-0.8077168585245269,first,successful
0.2762142946014734,first,successful
-0.11117996998653071,first,successful
0.7079550660242474,first,successful
-0.5281941450154295,first,successful
0.5575768530434178,first,successful
-0.26956887073160263,first,successful
0.40849340389606886,first,successful
