Performance,Attempt,Group
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
2.3978952727983707,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
2.1972245773362196,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.6931471805599453,first,successful
1.0986122886681098,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.791759469228055,first,successful
1.6094379124341003,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.6094379124341003,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
2.1972245773362196,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
3.58351893845611,first,successful
0.0,first,successful
0.0,first,successful
1.3862943611198906,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
2.0794415416798357,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
2.0794415416798357,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.6931471805599453,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
0.0,first,successful
1.0986122886681098,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,first,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
1.3862943611198906,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.6931471805599453,second,successful
0.6931471805599453,second,successful
2.0794415416798357,second,successful
1.0986122886681098,second,successful
0.0,second,successful
1.0986122886681098,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
1.3862943611198906,second,successful
0.0,second,successful
0.0,second,successful
1.0986122886681098,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.6931471805599453,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
1.0986122886681098,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
1.0986122886681098,second,successful
2.4849066497880004,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
1.0986122886681098,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.6931471805599453,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
2.70805020110221,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
1.791759469228055,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
0.0,second,successful
1.3862943611198906,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
1.3862943611198906,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
1.0986122886681098,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
2.3978952727983707,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
3.044522437723423,second,successful
0.0,second,successful
1.0986122886681098,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.6931471805599453,second,successful
0.6931471805599453,second,successful
0.0,second,successful
1.791759469228055,second,successful
0.0,second,successful
1.791759469228055,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
1.0986122886681098,second,successful
1.0986122886681098,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
1.3862943611198906,second,successful
0.0,second,successful
1.6094379124341003,second,successful
1.0986122886681098,second,successful
0.0,second,successful
1.0986122886681098,second,successful
0.0,second,successful
0.0,second,successful
1.6094379124341003,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.6931471805599453,second,successful
1.0986122886681098,second,successful
0.0,second,successful
2.3978952727983707,second,successful
0.0,second,successful
1.3862943611198906,second,successful
0.0,second,successful
0.0,second,successful
2.3978952727983707,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
2.5649493574615367,second,successful
0.0,second,successful
1.791759469228055,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
1.9459101490553132,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
1.791759469228055,second,successful
1.6094379124341003,second,successful
0.0,second,successful
0.0,second,successful
0.6931471805599453,second,successful
0.0,second,successful
0.0,second,successful
0.0,second,successful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
3.1780538303479458,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.0,first,unsuccessful
1.0986122886681098,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
1.3862943611198906,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
1.3862943611198906,first,unsuccessful
1.3862943611198906,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
1.791759469228055,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
1.0986122886681098,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
1.0986122886681098,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
2.833213344056216,first,unsuccessful
0.0,first,unsuccessful
1.0986122886681098,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
1.0986122886681098,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
1.791759469228055,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
1.6094379124341003,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
1.3862943611198906,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
2.70805020110221,first,unsuccessful
0.0,first,unsuccessful
3.1354942159291497,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.6931471805599453,first,unsuccessful
0.0,first,unsuccessful
3.9318256327243257,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
0.0,first,unsuccessful
