Tn,n,Group
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
1.0,1,unsuccessful
